Node Name,Lower Bound,Completion Time,Unassigned Count,Unassigned Parts
Root_T1_0,111.201878,21.182656,16,"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_1,45.246694,9.961096,16,"0;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_2,19.008534,4.017280,16,"0;1;3;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_3,19.934454,4.325920,16,"0;1;2;4;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_4,164.785358,27.548128,16,"0;1;2;3;5;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_5,37.462774,9.245664,16,"0;1;2;3;4;6;7;8;9;10;11;12;13;14;15;16"
Root_T1_6,35.146678,8.277760,16,"0;1;2;3;4;5;7;8;9;10;11;12;13;14;15;16"
Root_T1_7,18.425205,3.822837,16,"0;1;2;3;4;5;6;8;9;10;11;12;13;14;15;16"
Root_T1_8,45.028150,9.924672,16,"0;1;2;3;4;5;6;7;9;10;11;12;13;14;15;16"
Root_T1_9,175.237230,27.548128,16,"0;1;2;3;4;5;6;7;8;10;11;12;13;14;15;16"
Root_T1_10,60.760086,12.229600,16,"0;1;2;3;4;5;6;7;8;9;11;12;13;14;15;16"
Root_T1_11,33.917110,8.072832,16,"0;1;2;3;4;5;6;7;8;9;10;12;13;14;15;16"
Root_T1_12,38.850358,8.895040,16,"0;1;2;3;4;5;6;7;8;9;10;11;13;14;15;16"
Root_T1_13,25.009718,5.951840,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;14;15;16"
Root_T1_14,70.814486,13.486400,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16"
Root_T1_15,24.654179,7.225910,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16"
Root_T1_16,26.597398,6.348760,16,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15"
